id_colab_periodo;id_colaborador;periodo;horas_contratadas;codigo_cargo;codigo_area
100000-201901;100000;201901;79;5D1291;A0001
100000-201902;100000;201902;116;5D1291;A0001
100000-201904;100000;201904;80;5D1291;A0001
100000-201905;100000;201905;120;4K1171;A0139
100000-201906;100000;201906;80;4K1171;A0139
100000-201907;100000;201907;80;4K1171;A0139
100000-201908;100000;201908;80;4K1171;A0139
100000-201909;100000;201909;133;4K1171;A0139
100000-201910;100000;201910;70;4K1171;A0163
100000-201911;100000;201911;124;4K1171;A0163
100000-201912;100000;201912;59;4K1171;A0163
100000-202001;100000;202001;170;4K1171;A0163
100000-202002;100000;202002;185;5A1014;A0090
100000-202003;100000;202003;72;5A1014;A0090
100000-202004;100000;202004;94;5A1014;A0090
100000-202005;100000;202005;93;5A1014;A0090
100000-202006;100000;202006;187;5A1014;A0090
100001-201901;100001;201901;126;5C1181;A0056
100001-201902;100001;201902;81;5C1181;A0056
100001-201903;100001;201903;80;5C1181;A0056
100001-201904;100001;201904;104;4K1171;A0139
100001-201905;100001;201905;164;4K1171;A0139
100001-201906;100001;201906;80;4K1171;A0139
100001-201907;100001;201907;80;4K1171;A0139
100001-201908;100001;201908;80;4K1171;A0139
100001-201909;100001;201909;126;4K1171;A0163
100001-201910;100001;201910;168;4K1171;A0163
100001-201911;100001;201911;99;4K1171;A0163
100001-201912;100001;201912;118;4K1171;A0163
100001-202001;100001;202001;188;5A1014;A0090
100001-202002;100001;202002;170;5A1014;A0090
100001-202003;100001;202003;101;5A1014;A0090
100001-202004;100001;202004;172;5A1014;A0090
100001-202005;100001;202005;86;5A1014;A0090
100001-202006;100001;202006;150;5A1014;A0090
100002-201901;100002;201901;162;5E1341;A0121
100002-201902;100002;201902;165;5E1341;A0121
100002-201904;100002;201904;49;5E1341;A0121
100002-201905;100002;201905;169;5E1341;A0121
100002-201906;100002;201906;80;5E1341;A0121
100002-201907;100002;201907;80;5E1341;A0121
100002-201908;100002;201908;80;5E1341;A0121
100002-201909;100002;201909;54;5E1341;A0121
100002-201910;100002;201910;48;5E1341;A0121
100002-201911;100002;201911;61;5E1341;A0121
100002-201912;100002;201912;141;5E1341;A0121
100002-202001;100002;202001;55;5E1341;A0121
100002-202002;100002;202002;154;4K1171;A0210
100002-202003;100002;202003;53;4K1171;A0210
100002-202004;100002;202004;185;4K1171;A0210
100002-202005;100002;202005;68;4K1171;A0210
100002-202006;100002;202006;158;4K1171;A0210
100003-201901;100003;201901;90;5D1291;A0219
100003-201902;100003;201902;103;5D1291;A0219
100003-201904;100003;201904;139;5D1291;A0219
100003-201905;100003;201905;78;4K1171;A0139
100003-201906;100003;201906;80;4K1171;A0139
100003-201907;100003;201907;80;4K1171;A0139
100003-201908;100003;201908;80;4K1171;A0139
100003-201909;100003;201909;65;4K1171;A0139
100003-201910;100003;201910;75;4K1171;A0163
100003-201911;100003;201911;64;4K1171;A0163
100003-201912;100003;201912;167;4K1171;A0163
100003-202001;100003;202001;86;4K1171;A0163
100003-202002;100003;202002;112;5A1014;A0090
100003-202003;100003;202003;158;5A1014;A0090
100003-202004;100003;202004;125;5A1014;A0090
