fecha_desembolso,ciudad,segmento,cantidad_creditos,total_desembolsado
2025-03-15,BOGOTÁ,MASS MARKET,1,11500000
2025-03-12,BARRANQUILLA,PREMIUM,1,24000000
2025-03-10,BARRANQUILLA,PREMIUM,1,22000000
2025-03-10,CALI,SME,1,38000000
2025-03-08,BOGOTÁ,SME,1,50000000
2025-03-08,MEDELLÍN,SME,1,35000000
2025-03-05,BARRANQUILLA,MASS MARKET,1,4500000
2025-03-05,MEDELLÍN,MASS MARKET,1,7500000
2025-03-02,BOGOTÁ,MASS MARKET,1,15000000
2025-03-01,BOGOTÁ,MASS MARKET,1,9000000
2025-03-01,CALI,PREMIUM,1,21000000
2025-02-25,BOGOTÁ,MASS MARKET,1,16000000
2025-02-20,BARRANQUILLA,SME,1,32000000
2025-02-20,BOGOTÁ,SME,1,28000000
2025-02-15,BOGOTÁ,PREMIUM,1,25000000
2025-02-15,CARTAGENA,MASS MARKET,1,6500000
2025-02-15,MEDELLÍN,PREMIUM,1,20000000
2025-02-12,BARRANQUILLA,MASS MARKET,1,6000000
2025-02-10,MEDELLÍN,PREMIUM,1,19000000
2025-02-05,BOGOTÁ,MASS MARKET,1,14000000
2025-02-03,BOGOTÁ,SME,1,45000000
2025-01-28,CALI,SME,1,40000000
2025-01-22,BUCARAMANGA,MASS MARKET,1,13000000
2025-01-20,BOGOTÁ,MASS MARKET,1,8000000
2025-01-20,CALI,MASS MARKET,1,8000000
2025-01-18,MEDELLÍN,PREMIUM,1,18000000
2025-01-15,BOGOTÁ,PREMIUM,1,26000000
2025-01-12,MEDELLÍN,PREMIUM,1,25000000
2025-01-10,CARTAGENA,MASS MARKET,1,4000000
2025-01-08,BARRANQUILLA,MASS MARKET,1,5000000
2025-01-05,BOGOTÁ,MASS MARKET,1,12000000
2024-12-22,MEDELLÍN,SME,1,48000000
2024-12-12,CALI,MASS MARKET,1,8500000
2024-12-05,MEDELLÍN,PREMIUM,1,12000000
2024-12-01,BOGOTÁ,PREMIUM,1,30000000
2024-11-20,CARTAGENA,MASS MARKET,1,5500000
2024-11-15,BOGOTÁ,MASS MARKET,1,5000000
2024-11-08,MEDELLÍN,SME,1,35000000
2024-10-28,BOGOTÁ,MASS MARKET,1,11000000
2024-10-15,BARRANQUILLA,PREMIUM,1,28000000
2024-10-02,CALI,MASS MARKET,1,9500000
2024-09-18,BOGOTÁ,SME,1,42000000
2024-09-05,BUCARAMANGA,MASS MARKET,1,7000000
2024-09-01,BOGOTÁ,SME,1,30000000
2024-08-20,MEDELLÍN,PREMIUM,1,22000000
2024-08-10,BOGOTÁ,MASS MARKET,1,10000000
2024-07-10,MEDELLÍN,PREMIUM,1,15000000
