Afiliado_Id,salario,conteo_transacciones,gasto_total,tasa_anulacion_pct,ratio_gasto_salario
-1,1300000,26,10820677.0,3.85,8.3236
95,1800000,2,30670.0,0.0,0.017
123,1800000,4,142329.0,0.0,0.0791
146,2500000,2,267208.0,50.0,0.1069
178,1800000,2,48120.0,0.0,0.0267
189,3160000,1,17574.0,0.0,0.0056
202,1700000,2,214200.0,0.0,0.126
279,1800000,1,69646.0,0.0,0.0387
368,3160000,2,2980156.0,50.0,0.9431
420,2350000,3,34700.0,0.0,0.0148
562,1300000,2,55614.0,0.0,0.0428
656,2350000,5,3049903.0,0.0,1.2978
692,3160000,1,15099.0,0.0,0.0048
704,2350000,4,96240.0,25.0,0.041
720,2350000,2,66498.0,0.0,0.0283
815,2500000,1,16500.0,0.0,0.0066
817,1700000,2,35148.0,50.0,0.0207
831,3160000,1,95500.0,0.0,0.0302
892,1700000,2,183356.0,0.0,0.1079
946,2350000,4,57706.0,0.0,0.0246
1002,1700000,2,889718.0,50.0,0.5234
1037,1800000,2,153952.0,50.0,0.0855
1053,3160000,8,2617852.0,0.0,0.8284
1068,3160000,2,235242.0,0.0,0.0744
1117,2500000,1,16500.0,0.0,0.0066
1135,1800000,2,78112.0,50.0,0.0434
1200,2350000,1,120014.0,0.0,0.0511
1201,3160000,1,198035.0,0.0,0.0627
1283,2350000,1,26183.0,0.0,0.0111
1290,3160000,2,52470.0,0.0,0.0166
1291,2500000,1,100978.0,0.0,0.0404
1330,1800000,2,41284.0,50.0,0.0229
1441,1700000,7,369780.0,14.29,0.2175
1754,1800000,2,361016.0,0.0,0.2006
1790,2500000,4,46000.0,0.0,0.0184
1801,1700000,2,52470.0,0.0,0.0309
1832,1300000,1,59287.0,0.0,0.0456
1856,2500000,2,52470.0,0.0,0.021
1962,1800000,2,55822.0,50.0,0.031
2030,1300000,6,490371.0,33.33,0.3772
2146,2350000,2,146800.0,0.0,0.0625
2155,3160000,2,130000.0,50.0,0.0411
2161,1300000,4,103760.0,0.0,0.0798
2360,1800000,2,52470.0,0.0,0.0292
2396,1700000,2,183356.0,0.0,0.1079
2406,1300000,2,72110.0,0.0,0.0555
2472,3160000,1,18514.0,0.0,0.0059
2480,1800000,2,150990.0,50.0,0.0839
2508,1800000,4,73328.0,0.0,0.0407
2532,1700000,1,470500.0,0.0,0.2768
2546,1700000,6,805054.0,0.0,0.4736
2587,2350000,2,52470.0,0.0,0.0223
2696,1700000,4,142800.0,25.0,0.084
2721,2500000,1,11650.0,0.0,0.0047
2919,1300000,3,306914.0,0.0,0.2361
3001,1300000,1,29637.0,0.0,0.0228
3124,2350000,1,69646.0,0.0,0.0296
3208,2350000,2,48120.0,0.0,0.0205
3280,1700000,2,145532.0,50.0,0.0856
3324,1800000,4,170592.0,25.0,0.0948
3379,1300000,1,317160.0,0.0,0.244
3431,2350000,1,182393.0,0.0,0.0776
3523,3160000,2,9586.0,50.0,0.003
3545,3160000,1,16500.0,0.0,0.0052
3570,1300000,7,110619.0,28.57,0.0851
3578,1700000,4,221590.0,25.0,0.1303
3584,2500000,4,129186.0,50.0,0.0517
3637,1800000,2,56000.0,0.0,0.0311
3752,1300000,2,42746.0,50.0,0.0329
3777,3160000,4,318842.0,50.0,0.1009
3793,1700000,3,95985.0,0.0,0.0565
3824,1700000,2,173310.0,50.0,0.1019
3891,1800000,2,131760.0,0.0,0.0732
3897,2500000,3,129319.0,0.0,0.0517
3907,1700000,1,136638.0,0.0,0.0804
3966,1300000,5,62499.0,20.0,0.0481
3978,3160000,2,118574.0,0.0,0.0375
3994,1700000,2,112400.0,0.0,0.0661
4050,2500000,3,78705.0,0.0,0.0315
4115,1300000,4,187412.0,0.0,0.1442
4159,1700000,3,48057.0,0.0,0.0283
4211,1700000,3,441970.0,0.0,0.26
4337,1800000,2,1704738.0,50.0,0.9471
4377,1300000,2,52366.0,50.0,0.0403
4395,3160000,3,78705.0,0.0,0.0249
4404,1300000,2,48120.0,0.0,0.037
4441,3160000,3,171900.0,0.0,0.0544
4467,2350000,20,1824541.0,10.0,0.7764
4580,2350000,3,124393.0,0.0,0.0529
4683,1300000,1,21218.0,0.0,0.0163
4733,2350000,2,63138.0,50.0,0.0269
4805,1300000,6,213468.0,0.0,0.1642
4865,1700000,2,65200.0,0.0,0.0384
4903,2350000,2,52470.0,0.0,0.0223
4913,2350000,3,14379.0,33.33,0.0061
5039,2500000,1,35127.0,0.0,0.0141
5113,1300000,1,31065.0,0.0,0.0239
5159,3160000,2,52470.0,0.0,0.0166
5196,2500000,4,568727.0,25.0,0.2275
5227,3160000,3,78705.0,0.0,0.0249
5283,3160000,2,139292.0,0.0,0.0441
5361,1300000,1,45900.0,0.0,0.0353
5411,2350000,8,184825.0,12.5,0.0786
5447,1700000,9,1000952.0,22.22,0.5888
5456,1300000,9,338709.0,0.0,0.2605
5480,1700000,4,239226.0,0.0,0.1407
5509,2350000,4,95205.0,25.0,0.0405
5533,2500000,2,115640.0,0.0,0.0463
5606,2500000,2,52470.0,0.0,0.021
5705,1700000,4,45444.0,0.0,0.0267
5764,2350000,7,248847.0,0.0,0.1059
5788,3160000,2,139292.0,0.0,0.0441
5867,1800000,1,50275.0,0.0,0.0279
5928,2500000,1,95500.0,0.0,0.0382
5947,3160000,2,63514.0,0.0,0.0201
5983,1700000,2,66498.0,0.0,0.0391
6013,2350000,1,147290.0,0.0,0.0627
6047,1300000,16,3274896.0,0.0,2.5192
6069,2350000,1,27039.0,0.0,0.0115
6093,2500000,5,343311.0,0.0,0.1373
6101,2350000,1,41784.0,0.0,0.0178
6108,2350000,8,441395.0,0.0,0.1878
6161,1800000,3,277167.0,0.0,0.154
6234,1800000,2,784796.0,50.0,0.436
6342,1800000,3,1434900.0,0.0,0.7972
6343,3160000,4,96240.0,25.0,0.0305
6356,3160000,2,35148.0,0.0,0.0111
6426,2350000,3,90923.0,0.0,0.0387
6460,1300000,1,11894.0,0.0,0.0091
6480,1800000,4,169388.0,25.0,0.0941
6543,1300000,2,815654.0,0.0,0.6274
6552,2500000,1,16500.0,0.0,0.0066
6587,2350000,1,422694.0,0.0,0.1799
6629,1300000,1,68564.0,0.0,0.0527
6674,1300000,2,17530.0,0.0,0.0135
6679,3160000,2,57194.0,50.0,0.0181
6748,2350000,6,88884.0,0.0,0.0378
6765,1300000,1,5340.0,0.0,0.0041
6827,1300000,2,28316.0,0.0,0.0218
6839,1300000,5,287050.0,0.0,0.2208
6876,1300000,1,150000.0,0.0,0.1154
6881,2350000,2,102093.0,0.0,0.0434
6882,1300000,5,5228790.0,0.0,4.0221
6889,3160000,1,55143.0,0.0,0.0175
6922,2350000,1,49049.0,0.0,0.0209
6961,1700000,4,325412.0,0.0,0.1914
6995,2500000,1,64676.0,0.0,0.0259
7018,1300000,1,13300.0,0.0,0.0102
7049,1800000,4,195190.0,0.0,0.1084
7132,2500000,2,9256.0,0.0,0.0037
7143,2500000,5,627586.0,0.0,0.251
7144,2350000,2,28800.0,50.0,0.0123
7166,1300000,1,12815.0,0.0,0.0099
7176,1800000,1,56200.0,0.0,0.0312
7199,2500000,2,986612.0,0.0,0.3946
7302,1700000,3,144715.0,33.33,0.0851
7331,2500000,2,287168.0,50.0,0.1149
7354,3160000,2,130000.0,50.0,0.0411
7391,3160000,5,120302.0,20.0,0.0381
7403,2350000,5,231871.0,40.0,0.0987
7423,1700000,3,107337.0,0.0,0.0631
7501,2500000,4,379902.0,0.0,0.152
7572,2500000,2,139292.0,0.0,0.0557
7577,1700000,3,128076.0,0.0,0.0753
7579,1800000,1,46453.0,0.0,0.0258
7661,1700000,1,69646.0,0.0,0.041
7706,1300000,1,75495.0,100.0,0.0581
7749,1800000,8,1085286.0,25.0,0.6029
7754,2350000,8,236320.0,37.5,0.1006
7777,3160000,2,9586.0,0.0,0.003
7782,1300000,1,64659.0,0.0,0.0497
7794,2350000,1,13893.0,0.0,0.0059
7836,1300000,1,27039.0,0.0,0.0208
7849,3160000,2,139292.0,0.0,0.0441
7886,3160000,1,21325.0,0.0,0.0067
7895,3160000,2,112400.0,0.0,0.0356
7899,2350000,14,338624.0,7.14,0.1441
7903,3160000,2,90270.0,0.0,0.0286
7924,1700000,2,127600.0,0.0,0.0751
7970,3160000,2,48120.0,0.0,0.0152
8003,3160000,2,13512.0,0.0,0.0043
8040,2350000,2,48120.0,0.0,0.0205
8050,1800000,1,75495.0,0.0,0.0419
8086,1800000,1,16500.0,0.0,0.0092
8092,1800000,1,17574.0,0.0,0.0098
8156,1700000,3,168600.0,0.0,0.0992
8204,2500000,1,77560.0,0.0,0.031
8217,1300000,2,109126.0,0.0,0.0839
8226,1800000,1,12560.0,0.0,0.007
8283,2500000,1,12815.0,0.0,0.0051
8284,2350000,1,53659.0,0.0,0.0228
8306,2500000,4,204986.0,0.0,0.082
8315,1300000,4,189372.0,0.0,0.1457
8363,1300000,2,66498.0,0.0,0.0512
8421,1700000,2,114138.0,0.0,0.0671
8477,2500000,2,48120.0,0.0,0.0192
8481,2350000,1,67800.0,0.0,0.0289
8491,1700000,2,49992.0,0.0,0.0294
8494,1800000,4,96240.0,25.0,0.0535
8535,1700000,2,9256.0,0.0,0.0054
8585,2350000,2,66498.0,50.0,0.0283
8587,2500000,1,400500.0,0.0,0.1602
8591,1300000,2,271524.0,50.0,0.2089
8610,1300000,2,50472.0,50.0,0.0388
8611,3160000,3,79452.0,0.0,0.0251
8655,1800000,3,317170.0,0.0,0.1762
8665,1700000,1,13893.0,0.0,0.0082
8678,1300000,6,774900.0,0.0,0.5961
8756,1300000,16,551182.0,0.0,0.424
8757,2500000,2,48120.0,0.0,0.0192
8788,1700000,4,57706.0,0.0,0.0339
8794,1300000,1,64659.0,0.0,0.0497
8808,1700000,2,9586.0,0.0,0.0056
8810,2500000,1,69646.0,0.0,0.0279
8821,2500000,2,30389.0,0.0,0.0122
8876,1800000,2,159000.0,0.0,0.0883
8949,1800000,2,46550.0,0.0,0.0259
8953,3160000,5,467974.0,0.0,0.1481
8966,3160000,1,41496.0,0.0,0.0131
8979,1700000,2,78090.0,0.0,0.0459
9095,2350000,1,12815.0,0.0,0.0055
9121,1300000,2,9256.0,0.0,0.0071
9129,1800000,4,134660.0,0.0,0.0748
9150,3160000,2,695736.0,0.0,0.2202
9206,2500000,6,2547868.0,0.0,1.0191
9256,1800000,6,1805666.0,16.67,1.0031
9258,3160000,2,78112.0,0.0,0.0247
9282,1700000,4,372100.0,0.0,0.2189
9406,2500000,1,635100.0,100.0,0.254
9422,1700000,2,101808.0,50.0,0.0599
9441,3160000,5,385612.0,40.0,0.122
9444,3160000,1,57069.0,0.0,0.0181
9475,1300000,4,1011506.0,0.0,0.7781
9622,2500000,2,83772.0,0.0,0.0335
9647,1800000,2,79160.0,50.0,0.044
9662,2500000,2,941000.0,50.0,0.3764
9720,2500000,1,17574.0,0.0,0.007
9754,3160000,2,262180.0,0.0,0.083
9771,1300000,8,380510.0,0.0,0.2927
9791,1300000,2,9586.0,0.0,0.0074
9809,1800000,2,46550.0,0.0,0.0259
9819,1800000,1,36960.0,0.0,0.0205
9848,1300000,8,2335008.0,0.0,1.7962
9880,1300000,1,75495.0,0.0,0.0581
9917,1700000,1,12560.0,0.0,0.0074
9919,1800000,1,123000.0,0.0,0.0683
9941,1300000,4,3291200.0,0.0,2.5317
9945,2350000,4,539689.0,0.0,0.2297
9952,1700000,5,782283.0,40.0,0.4602
9966,2500000,2,48120.0,0.0,0.0192
10027,3160000,1,91437.0,0.0,0.0289
10037,2350000,2,66498.0,0.0,0.0283
10044,1800000,9,2258961.0,22.22,1.255
10204,1700000,2,630892.0,0.0,0.3711
10212,1700000,2,35858.0,0.0,0.0211
10306,1800000,1,69646.0,0.0,0.0387
10319,1300000,5,294048.0,0.0,0.2262
10374,1300000,2,128028.0,0.0,0.0985
10400,2350000,3,1345587.0,0.0,0.5726
10402,3160000,1,20440.0,0.0,0.0065
10410,1700000,2,3000400.0,0.0,1.7649
10413,1300000,1,17574.0,0.0,0.0135
10448,2500000,2,27229.0,0.0,0.0109
10486,1700000,4,1757426.0,50.0,1.0338
10516,2350000,2,1704738.0,50.0,0.7254
10643,1800000,5,517053.0,0.0,0.2873
10689,1300000,4,562380.0,0.0,0.4326
10731,1700000,4,128800.0,0.0,0.0758
10750,1300000,1,56200.0,0.0,0.0432
10758,1700000,2,48120.0,0.0,0.0283
10819,1800000,1,24060.0,0.0,0.0134
10867,1800000,1,16500.0,0.0,0.0092
10953,1700000,2,96000.0,0.0,0.0565
11002,3160000,2,57212.0,0.0,0.0181
11013,1300000,1,58781.0,0.0,0.0452
11046,1700000,4,96240.0,25.0,0.0566
11058,1300000,1,16500.0,0.0,0.0127
11090,3160000,6,90594.0,0.0,0.0287
11092,2350000,1,56200.0,0.0,0.0239
11094,2500000,2,507840.0,0.0,0.2031
11102,1700000,4,1481852.0,25.0,0.8717
11106,2500000,2,71216.0,0.0,0.0285
11153,1700000,2,66498.0,0.0,0.0391
11193,1300000,4,2592852.0,0.0,1.9945
11228,2350000,5,62308.0,0.0,0.0265
11239,2350000,1,42986.0,0.0,0.0183
11255,2350000,1,14158.0,0.0,0.006
11289,1300000,2,129318.0,0.0,0.0995
11304,1800000,4,313226.0,0.0,0.174
11312,2500000,1,17574.0,0.0,0.007
11322,1800000,2,30944.0,0.0,0.0172
11403,3160000,7,724180.0,0.0,0.2292
11474,2350000,18,469472.0,0.0,0.1998
11487,3160000,1,8350.0,0.0,0.0026
11503,2350000,2,9586.0,0.0,0.0041
11513,3160000,2,309130.0,50.0,0.0978
11526,1700000,3,27160.0,33.33,0.016
11535,3160000,2,83772.0,0.0,0.0265
11544,3160000,8,1600650.0,0.0,0.5065
11607,1800000,7,156760.0,0.0,0.0871
11623,2350000,5,1431512.0,20.0,0.6092
11679,1300000,2,127600.0,0.0,0.0982
