,Fecha,Nombre_Tipo_Entidad,Id_entidad_financiera,Entidad_financiera,(1)Tipo_de_persona,(3)TamaÃ±o_de_empresa,(7) Plazo de crÃ©dito,tasa_promedio_mensual,margen_maximo,tasa_maximo,tasa_minima,Valor_desembolsos,monto_maximo,monto_minima,cantidad_desembolsos
0,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,A mÃ¡s de 7 aÃ±os,15.7,,16.81,14.28,28829782963.0,15000000000.0,519800000.0,7.0
1,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Avances en efectivo,36.89,,36.89,36.89,6700000.0,4500000.0,1000000.0,12.0
2,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos a un mes,0.0,,0.0,0.0,43294325132.0,12254349550.0,9638418471.0,49947.0
3,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos entre  13 y 18 meses,36.89,,36.89,35.22,197245.0,96000.0,35045.0,3.0
4,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos entre 19 y 24  meses,36.89,,36.89,36.75,25870210.0,16004313.0,1086104.0,38.0
5,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos entre 2 y 6 meses,30.05,,36.89,22.68,408362638.0,274579564.0,22977665.0,81.0
6,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos entre 25 y 36 meses,36.775,,36.89,36.51,4428777088.0,1289787608.0,947591037.0,2289.0
7,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Consumos entre 7 y 12 meses,36.754999999999995,,36.89,25.74,99024317.0,33295918.0,19772855.0,284.0
8,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,Hasta 30 dÃ­as,18.79,,35.24,14.67,421119143624.0,140000000000.0,60801011.0,3023.0
9,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,MÃ¡s de 1 aÃ±o y hasta 3 aÃ±os,16.445,,24.35,12.14,235637448499.0,31920459555.0,20975947.0,186.0
10,202210,BC-ESTABLECIMIENTO BANCARIO,1,Banco de Bogota,Juridica,Gran empresa,MÃ¡s de 3 aÃ±os y hasta 5 aÃ±os,15.56,,18.26,9.26,76332761984.0,29000000000.0,100.0,45.0
