Afiliado,salario
18647965,2500000
19112491,3160000
10540019,1700000
21997185,1300000
1527007,3160000
6389841,1300000
121205,1700000
8246568,1800000
10297488,1700000
13893231,3160000
1856670,1300000
6455735,1700000
10211394,1700000
13728743,1300000
1401110,1800000
1910384,3160000
1196417,1700000
3136893,3160000
13548254,2500000
15470720,1800000
10408897,2500000
18646177,1300000
2070856,2500000
6484291,1300000
13827907,2350000
10885951,1800000
22239103,2350000
1337850,3160000
14760750,1800000
3346924,2350000
18693369,2350000
17042722,1800000
14918640,2350000
20091483,1700000
17144479,2350000
15112857,1700000
13709919,3160000
1243042,2350000
3358851,2350000
1030712,2350000
9470258,1700000
21390573,1800000
3098547,2500000
15504042,1700000
1053940,1300000
13726492,2350000
7513002,1800000
3049260,1300000
7538186,1800000
7194711,1800000
3382403,2500000
14611890,2500000
22093485,3160000
9324622,1300000
16791485,3160000
998146,3160000
4420853,1800000
17677072,1700000
2812703,2500000
9712997,2350000
6937057,2350000
8425196,1800000
9741761,3160000
21761443,3160000
2013060,1800000
2358028,2500000
16809433,3160000
6120074,1800000
2764602,1300000
14894016,2350000
18610653,1300000
7731423,3160000
5480075,1300000
4715443,2350000
11308095,2500000
4007748,3160000
3093217,1300000
6330757,2500000
8020203,1800000
8339156,1700000
17828218,1700000
9981107,2350000
1726392,1800000
3498032,1700000
6202875,2500000
7675245,2500000
5895278,2350000
6696697,1300000
7728479,2500000
6168014,1300000
1297296,1700000
3579627,1300000
6907392,2350000
21082703,1800000
5609987,1300000
5946161,1700000
13709969,1300000
6089806,2350000
2602912,3160000
20987852,1800000
9602084,3160000
9353519,1800000
7469379,2350000
14064783,2500000
17534284,1300000
5897871,2350000
21250127,1800000
3001973,2350000
2933325,1300000
13690504,3160000
6343434,1800000
10489501,1300000
7386584,1300000
5535682,1800000
7422276,3160000
23190873,1300000
2366486,2500000
9789909,1800000
19418636,1300000
2990486,3160000
10796053,1800000
7573418,2350000
8337627,1300000
10381607,3160000
8232243,2350000
6548759,2350000
7838211,1800000
16822658,2350000
14813215,2500000
5469183,2500000
8201133,3160000
10065622,2500000
15039769,1800000
15735862,1800000
8212223,1300000
1320827,1800000
3459025,2350000
1838939,2500000
10711737,2500000
4482407,1300000
1619731,1700000
4835810,2350000
1873451,2350000
2960986,1800000
13914660,1800000
14921927,1300000
9728537,2350000
7389576,1800000
8270495,2500000
5097556,1800000
1372053,2500000
14801395,1800000
2652660,3160000
222387,2350000
14730853,1800000
67781,2350000
22041659,2350000
10015718,1300000
6993947,1700000
12963053,2500000
7323420,1800000
6274497,3160000
15448159,2500000
5848637,3160000
16560475,1800000
18641433,3160000
21038295,1300000
8388362,2350000
16713549,2500000
16156322,2350000
2899932,3160000
9794747,1700000
10875956,2350000
5242783,2500000
16214681,1800000
3427450,1700000
5940193,2500000
14788749,1300000
4604511,3160000
7607908,2350000
18617571,1800000
1931052,3160000
2010312,1700000
3222494,1800000
2441987,1800000
7019723,3160000
14760095,3160000
21096117,1300000
2227322,3160000
2401367,2350000
3001417,2500000
2944439,1300000
16661593,1300000
925447,1300000
3193413,1700000
17710787,1700000
6705477,1800000
6506030,1700000
7352145,2350000
5948391,2350000
2046224,2350000
2107534,2500000
9313305,2350000
18664762,3160000
5991396,1700000
18652342,2350000
18647843,3160000
6107598,1700000
1328182,2500000
19503792,1700000
18666623,1700000
4954758,2350000
7711806,2350000
7473335,1700000
523804,1300000
7469045,1300000
22224012,1700000
15111933,2500000
7329353,1800000
7230871,2500000
6455036,2500000
4034216,2500000
9830902,1700000
17132510,2350000
9234377,1300000
7156019,1300000
7804572,2350000
11748266,2350000
2244750,3160000
885460,1700000
3070808,2350000
2044631,1800000
18654829,2500000
16097862,3160000
6937139,2500000
1633937,1300000
18688967,1300000
18653415,1300000
2636669,3160000
1373904,2350000
20658420,1800000
6376505,1300000
7925837,1700000
8182832,1700000
5549388,1300000
10345034,1800000
4473758,3160000
10798155,2500000
22100046,3160000
6382576,2500000
5606606,2500000
2224766,2500000
7888010,2350000
23150999,1800000
22093476,1700000
1250255,1300000
5849489,1800000
12280713,3160000
9683368,1800000
3100357,2350000
10020551,2350000
20709469,1800000
5795213,2350000
6757868,1700000
2429420,1300000
5492559,1700000
3216438,1700000
5125379,3160000
10245043,1300000
7741563,3160000
8396008,1300000
18638592,1800000
9120823,1700000
13710875,2350000
8327407,3160000
2496311,2350000
1368708,1300000
4879432,2350000
2946004,1800000
2553384,1800000
9936557,2350000
6167451,2350000
11380282,1300000
8040145,1300000
9247952,2500000
4937974,1300000
2474242,2500000
3034400,1700000
2654117,3160000
6063112,2500000
3093145,1800000
14059956,1800000
2910838,2350000
7283645,3160000
5952948,1300000
2831087,2350000
5179198,3160000
1388986,2350000
6757630,1800000
2076215,2350000
2182330,2500000
7149510,1700000
18623989,2350000
14716949,1700000
2352368,2350000
18693872,1800000
2227636,1700000
17915595,1700000
15936580,1700000
1868160,1700000
6444447,3160000
1452438,1300000
21959321,1300000
18641562,2500000
1277377,1300000
67492,1800000
14508949,1800000
18416049,1700000
16474354,1800000
6078978,1300000
6773768,2350000
9777798,2350000
2176232,1800000
7602058,2350000
9382803,2350000
8357004,2500000
2472213,2350000
277006,2350000
1101020,3160000
566496,1300000
7388920,2350000
23199358,1800000
2370680,1300000
2791011,2350000
937851,1300000
21250866,1700000
2702078,1800000
2153319,2500000
20610855,1700000
3260362,1700000
93651,1700000
9508067,1300000
18709928,1800000
10090874,1800000
2102404,1700000
21723075,1300000
9490811,2500000
5285843,2350000
6792745,1800000
18666598,1700000
7054365,1300000
5039552,1300000
2167509,2350000
7348828,2350000
18033689,2350000
21573408,2350000
7737255,1800000
2829945,3160000
1597286,2500000
5561546,2500000
8177608,1700000
2339221,2500000
5878391,2350000
17076431,2500000
10937310,1800000
21298301,1700000
9962956,3160000
1217593,1800000
9526827,3160000
4930407,2500000
19447068,1700000
9739868,1300000
21431036,2500000
12169595,1300000
14470016,1700000
22150442,1300000
6573464,1800000
5662405,3160000
7826653,1300000
7008408,1700000
182010,1300000
5150680,2500000
3207571,2350000
7985924,2500000
8340271,1800000
791734,3160000
1747465,1300000
2912796,2500000
6522122,1800000
2270503,2350000
8230165,1300000
6312988,2500000
13534607,1800000
3220917,1700000
23086699,2350000
23045012,1300000
4694089,2500000
9602059,1300000
9745021,2500000
8165884,2350000
358848,2350000
1623304,2350000
2347297,1800000
7722273,1800000
9346799,3160000
6521471,2500000
18939453,2500000
2159658,1300000
10577154,1300000
6523288,2500000
9490966,2350000
3460248,2500000
4237971,3160000
1587208,1700000
10067214,2350000
15873874,3160000
2058462,1700000
9584982,1300000
10868330,3160000
18664515,2350000
1551703,2350000
2748868,1800000
21416944,1800000
18827825,1800000
7076693,1300000
1455556,1800000
7259197,1300000
414840,2350000
21933569,2500000
15691726,2350000
2337952,2500000
8839094,2350000
2026093,2500000
10888568,2500000
3242668,2500000
15236532,2500000
3063011,1300000
1933747,1700000
14801403,1300000
8432692,2500000
6181558,1800000
4568929,2350000
9365673,1700000
5290216,3160000
9128402,3160000
1392058,2500000
17344441,3160000
8335070,1800000
10482192,3160000
2859322,1800000
6452178,2350000
17717539,1700000
11262961,2350000
10900563,1300000
174163,1700000
13714007,2500000
18635620,3160000
3273055,3160000
2609574,2500000
22029149,2500000
4594485,3160000
1614431,2350000
23160278,1800000
4253154,3160000
1459102,2500000
6702461,2500000
18670506,1700000
2394834,1700000
2524191,1700000
8027295,1700000
1524570,1300000
21264077,2350000
1247069,1700000
10327744,2350000
4593996,3160000
1970145,1700000
18708496,2500000
1552056,3160000
6953178,2350000
5776006,3160000
6857376,2350000
18392736,1800000
1003990,2500000
2681153,1700000
4753779,2500000
1502928,1300000
6918662,1800000
2626308,2350000
1339000,1300000
10527621,1800000
7113676,1700000
1126556,2350000
18328879,2350000
18649399,1300000
6587664,3160000
3175264,2500000
7222543,1300000
2619470,1700000
1929627,2350000
6060252,3160000
11127868,1700000
5755672,3160000
1868656,1700000
1509790,3160000
2723345,1300000
